title,brand,category,price_gbp,mrp_gbp,discount_pct,rating,review_count,availability,detail_url,scraped_at
A Light in the Attic,CambridgePress,History,51.77,68.1,23.98,3,275,In stock,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,2026-03-16 17:00:28
Tipping the Velvet,OxfordPress,Science,53.74,74.85,28.2,1,30,In stock,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,2026-03-16 17:00:28
Soumission,CambridgePress,Children,50.1,68.46,26.82,1,110,In stock,https://books.toscrape.com/catalogue/soumission_998/index.html,2026-03-16 17:00:28
Sharp Objects,OxfordPress,Self-Help,47.82,60.29,20.68,4,179,In stock,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,2026-03-16 17:00:28
Sapiens: A Brief History of Humankind,SimonSchuster,Biography,54.23,78.16,30.62,5,1390,In stock,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,2026-03-16 17:00:28
The Requiem Red,SimonSchuster,History,22.65,29.26,22.59,1,367,In stock,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,2026-03-16 17:00:28
The Dirty Little Secrets of Getting Your Dream Job,Bloomsbury,Biography,33.34,45.74,27.11,4,1375,In stock,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,2026-03-16 17:00:28
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",CambridgePress,Self-Help,17.93,22.49,20.28,3,1869,In stock,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,2026-03-16 17:00:28
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,HachetteBook,Technology,22.6,33.61,32.76,4,1180,In stock,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,2026-03-16 17:00:28
The Black Maria,HarperCollins,Science,52.15,73.56,29.11,1,413,In stock,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,2026-03-16 17:00:28
"Starving Hearts (Triangular Trade Trilogy, #1)",Scholastic,Self-Help,13.99,16.35,14.43,2,307,In stock,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,2026-03-16 17:00:28
Shakespeare's Sonnets,CambridgePress,Biography,20.66,27.79,25.66,4,1282,In stock,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,2026-03-16 17:00:28
Set Me Free,HarperCollins,Biography,17.46,22.03,20.74,5,1826,In stock,https://books.toscrape.com/catalogue/set-me-free_988/index.html,2026-03-16 17:00:28
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),HachetteBook,Science,52.29,56.71,7.79,5,1138,In stock,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,2026-03-16 17:00:28
Rip it Up and Start Again,Scholastic,History,35.02,48.81,28.25,5,96,In stock,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,2026-03-16 17:00:28
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Scholastic,Technology,57.25,76.66,25.32,3,531,In stock,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,2026-03-16 17:00:28
Olio,RandomHouse,Technology,23.88,29.98,20.35,1,1199,In stock,https://books.toscrape.com/catalogue/olio_984/index.html,2026-03-16 17:00:28
Mesaerion: The Best Science Fiction Stories 1800-1849,RandomHouse,History,37.59,53.98,30.36,1,1931,In stock,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,2026-03-16 17:00:28
Libertarianism for Beginners,HarperCollins,History,51.33,63.31,18.92,2,159,In stock,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,2026-03-16 17:00:28
It's Only the Himalayas,CambridgePress,Self-Help,45.17,50.3,10.2,2,1931,In stock,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,2026-03-16 17:00:28
In Her Wake,HachetteBook,History,12.84,17.97,28.55,1,688,In stock,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,2026-03-16 17:00:32
How Music Works,Bloomsbury,Self-Help,37.32,51.1,26.97,2,215,In stock,https://books.toscrape.com/catalogue/how-music-works_979/index.html,2026-03-16 17:00:32
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",CambridgePress,Science,30.52,33.87,9.89,3,1018,In stock,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,2026-03-16 17:00:32
Chase Me (Paris Nights #2),CambridgePress,Non-Fiction,25.27,27.1,6.75,5,1554,In stock,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,2026-03-16 17:00:32
Black Dust,Scholastic,Technology,34.53,50.08,31.05,5,507,In stock,https://books.toscrape.com/catalogue/black-dust_976/index.html,2026-03-16 17:00:32
Birdsong: A Story in Pictures,HarperCollins,Biography,54.64,58.87,7.19,3,84,In stock,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,2026-03-16 17:00:32
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Scholastic,Children,22.5,26.0,13.46,3,28,In stock,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,2026-03-16 17:00:32
Aladdin and His Wonderful Lamp,Macmillan,History,53.13,60.87,12.72,3,1900,In stock,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,2026-03-16 17:00:32
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,HachetteBook,Fiction,40.3,59.86,32.68,5,1982,In stock,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,2026-03-16 17:00:32
Wall and Piece,HarperCollins,Non-Fiction,44.18,53.26,17.05,4,1579,In stock,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,2026-03-16 17:00:32
The Four Agreements: A Practical Guide to Personal Freedom,HachetteBook,Fiction,17.66,20.6,14.27,5,1794,In stock,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,2026-03-16 17:00:32
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,CambridgePress,Science,31.05,35.74,13.12,3,1434,In stock,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,2026-03-16 17:00:32
The Elephant Tree,RandomHouse,Fiction,23.82,28.71,17.03,5,1717,In stock,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,2026-03-16 17:00:32
The Bear and the Piano,HachetteBook,Fiction,36.89,51.79,28.77,1,117,In stock,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,2026-03-16 17:00:32
Sophie's World,PenguinBooks,History,15.94,20.12,20.78,5,74,In stock,https://books.toscrape.com/catalogue/sophies-world_966/index.html,2026-03-16 17:00:32
Penny Maybe,RandomHouse,Children,33.29,40.56,17.92,3,1885,In stock,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,2026-03-16 17:00:32
Maude (1883-1993):She Grew Up with the country,Scholastic,Science,18.02,19.28,6.54,2,51,In stock,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,2026-03-16 17:00:32
"In a Dark, Dark Wood",CambridgePress,Biography,19.63,26.07,24.7,1,133,In stock,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,2026-03-16 17:00:32
Behind Closed Doors,Macmillan,Non-Fiction,52.22,64.24,18.71,4,1240,In stock,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,2026-03-16 17:00:32
You can't bury them all: Poems,Macmillan,Science,33.63,49.78,32.44,2,1478,In stock,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,2026-03-16 17:00:32
Slow States of Collapse: Poems,SimonSchuster,Self-Help,57.31,82.15,30.24,3,1113,In stock,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,2026-03-16 17:00:37
Reasons to Stay Alive,HarperCollins,Non-Fiction,26.41,35.01,24.56,2,775,In stock,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,2026-03-16 17:00:37
Private Paris (Private #10),Macmillan,Technology,47.61,54.37,12.43,5,341,In stock,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,2026-03-16 17:00:37
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,HarperCollins,Non-Fiction,23.11,32.8,29.54,5,768,In stock,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,2026-03-16 17:00:37
Without Borders (Wanderlove #1),Bloomsbury,History,45.07,47.93,5.97,2,304,In stock,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,2026-03-16 17:00:37
When We Collided,OxfordPress,Science,31.77,41.44,23.33,1,1031,In stock,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,2026-03-16 17:00:37
"We Love You, Charlie Freeman",Scholastic,Fiction,50.27,69.47,27.64,5,290,In stock,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,2026-03-16 17:00:37
Untitled Collection: Sabbath Poems 2014,Bloomsbury,History,14.27,18.84,24.26,4,812,In stock,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,2026-03-16 17:00:37
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",HachetteBook,Children,44.18,56.26,21.47,4,1640,In stock,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,2026-03-16 17:00:37
Unicorn Tracks,PenguinBooks,Science,18.78,23.89,21.39,3,1365,In stock,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,2026-03-16 17:00:37
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",HachetteBook,Self-Help,25.52,32.48,21.43,1,1150,In stock,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,2026-03-16 17:00:37
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Bloomsbury,Biography,16.28,23.2,29.83,1,1209,In stock,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,2026-03-16 17:00:37
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Scholastic,Children,31.12,35.53,12.41,3,1604,In stock,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,2026-03-16 17:00:37
This One Summer,CambridgePress,History,19.49,28.45,31.49,4,1461,In stock,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,2026-03-16 17:00:37
Thirst,SimonSchuster,Technology,17.27,22.53,23.35,5,799,In stock,https://books.toscrape.com/catalogue/thirst_946/index.html,2026-03-16 17:00:37
The Torch Is Passed: A Harding Family Story,RandomHouse,Biography,19.09,27.9,31.58,1,1676,In stock,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,2026-03-16 17:00:37
The Secret of Dreadwillow Carse,CambridgePress,Science,56.13,61.16,8.22,1,1763,In stock,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,2026-03-16 17:00:37
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",SimonSchuster,Self-Help,56.41,73.32,23.06,1,334,In stock,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,2026-03-16 17:00:37
The Past Never Ends,Bloomsbury,Technology,56.5,74.39,24.05,4,1995,In stock,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,2026-03-16 17:00:37
The Natural History of Us (The Fine Art of Pretending #2),PenguinBooks,History,45.22,52.9,14.52,3,301,In stock,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,2026-03-16 17:00:37
The Nameless City (The Nameless City #1),HarperCollins,Non-Fiction,38.16,43.81,12.9,4,1244,In stock,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,2026-03-16 17:00:46
The Murder That Never Was (Forensic Instincts #5),Bloomsbury,Biography,54.11,59.38,8.88,3,1924,In stock,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,2026-03-16 17:00:46
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,SimonSchuster,Self-Help,42.96,63.23,32.06,4,891,In stock,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,2026-03-16 17:00:46
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",SimonSchuster,Science,23.89,35.54,32.78,4,1185,In stock,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,2026-03-16 17:00:46
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Scholastic,Non-Fiction,16.77,25.02,32.97,3,176,In stock,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,2026-03-16 17:00:46
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",SimonSchuster,Technology,20.59,29.73,30.74,5,460,In stock,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,2026-03-16 17:00:46
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Macmillan,Biography,37.13,51.54,27.96,1,1824,In stock,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,2026-03-16 17:00:46
The Electric Pencil: Drawings from Inside State Hospital No. 3,Macmillan,Children,56.06,80.25,30.14,1,1321,In stock,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,2026-03-16 17:00:46
The Death of Humanity: and the Case for Life,Bloomsbury,Biography,58.11,81.68,28.86,4,776,In stock,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,2026-03-16 17:00:46
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",RandomHouse,Fiction,49.05,69.74,29.67,3,1802,In stock,https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,2026-03-16 17:00:46
The Art Forger,HarperCollins,Self-Help,40.76,44.07,7.51,3,1773,In stock,https://books.toscrape.com/catalogue/the-art-forger_930/index.html,2026-03-16 17:00:46
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,HarperCollins,Self-Help,19.73,25.18,21.64,1,237,In stock,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,2026-03-16 17:00:46
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,PenguinBooks,Children,32.24,42.04,23.31,5,1979,In stock,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,2026-03-16 17:00:46
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Macmillan,Technology,41.83,47.21,11.4,4,964,In stock,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,2026-03-16 17:00:46
Soul Reader,CambridgePress,Self-Help,39.58,54.34,27.16,2,350,In stock,https://books.toscrape.com/catalogue/soul-reader_926/index.html,2026-03-16 17:00:46
Security,Scholastic,Fiction,39.25,50.24,21.88,2,620,In stock,https://books.toscrape.com/catalogue/security_925/index.html,2026-03-16 17:00:46
"Saga, Volume 6 (Saga (Collected Editions) #6)",HarperCollins,Technology,25.02,31.84,21.42,3,184,In stock,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html,2026-03-16 17:00:46
"Saga, Volume 5 (Saga (Collected Editions) #5)",SimonSchuster,History,51.04,71.5,28.62,2,442,In stock,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,2026-03-16 17:00:46
Reskilling America: Learning to Labor in the Twenty-First Century,Bloomsbury,Non-Fiction,19.83,27.16,26.99,2,1570,In stock,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,2026-03-16 17:00:46
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",OxfordPress,Science,50.4,74.7,32.53,3,61,In stock,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,2026-03-16 17:00:46
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",PenguinBooks,Biography,13.61,19.55,30.38,5,837,In stock,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,2026-03-16 17:00:54
Princess Between Worlds (Wide-Awake Princess #5),Scholastic,Science,13.34,16.85,20.83,5,1215,In stock,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html,2026-03-16 17:00:54
"Pop Gun War, Volume 1: Gift",RandomHouse,History,18.97,25.75,26.33,1,1190,In stock,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,2026-03-16 17:00:54
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",HarperCollins,Fiction,36.28,52.59,31.01,2,607,In stock,https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,2026-03-16 17:00:54
Patience,HarperCollins,Non-Fiction,10.16,11.04,7.97,3,1346,In stock,https://books.toscrape.com/catalogue/patience_916/index.html,2026-03-16 17:00:54
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Bloomsbury,Fiction,15.44,18.72,17.52,4,1938,In stock,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,2026-03-16 17:00:54
orange: The Complete Collection 1 (orange: The Complete Collection #1),Bloomsbury,Self-Help,48.41,65.48,26.07,1,1873,In stock,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,2026-03-16 17:00:54
Online Marketing for Busy Authors: A Step-By-Step Guide,RandomHouse,Biography,46.35,57.21,18.98,1,1212,In stock,https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,2026-03-16 17:00:54
On a Midnight Clear,CambridgePress,Biography,14.07,19.1,26.34,3,864,In stock,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html,2026-03-16 17:00:54
Obsidian (Lux #1),Macmillan,Biography,14.86,19.84,25.1,2,611,In stock,https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html,2026-03-16 17:00:54
My Paris Kitchen: Recipes and Stories,Bloomsbury,Children,33.37,45.84,27.2,2,1606,In stock,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html,2026-03-16 17:00:54
Masks and Shadows,SimonSchuster,Self-Help,56.4,61.23,7.89,2,1161,In stock,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html,2026-03-16 17:00:54
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",CambridgePress,Technology,14.02,15.24,8.01,4,495,In stock,https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,2026-03-16 17:00:54
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",HarperCollins,Fiction,46.91,65.07,27.91,2,1476,In stock,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,2026-03-16 17:00:54
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Macmillan,Science,45.61,50.57,9.81,3,1350,In stock,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,2026-03-16 17:00:54
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),HarperCollins,Self-Help,19.92,24.48,18.63,2,146,In stock,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,2026-03-16 17:00:54
"Layered: Baking, Building, and Styling Spectacular Cakes",RandomHouse,Technology,40.11,53.4,24.89,1,577,In stock,https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html,2026-03-16 17:00:54
